Title,Link,SQL,Python,Power BI,Excel,Tableau,Angielski,Cloud,R
Performance Specialist,"https://www.pracuj.pl/praca/performance-specialist-gdansk-aleja-grunwaldzka-415,oferta,1004564880?s=fd093a39&searchId=MTc2Nzg2NzM2NzMxOC40Mzc1",0,0,0,1,0,1,0,0
Kierownik sklepu,"https://www.pracuj.pl/praca/kierownik-sklepu-kozienice,oferta,1004552008?s=fd093a39&searchId=MTc2Nzg2NzM2NzMxOC40Mzc1",0,0,0,0,0,0,1,0
Data Governance Analyst,"https://www.pracuj.pl/praca/data-governance-analyst-warszawa-pulawska-17,oferta,1004498838?s=fd093a39&searchId=MTc2Nzg2NzM2NzMxOC40Mzc1",1,0,1,1,0,1,1,0
Mid SAP S/4HANA RAR Consultant,"https://www.pracuj.pl/praca/mid-sap-s-4hana-rar-consultant-warszawa,oferta,1004558984?s=fd093a39&searchId=MTc2Nzg2NzM2NzMxOC40Mzc1",0,0,0,0,0,1,0,0
Business Systems Analyst (Online&Corporate Banking) (m/f),"https://www.pracuj.pl/praca/business-systems-analyst-online-corporate-banking-m-f-poznan-krysiewicza-9,oferta,1004551660?s=fd093a39&searchId=MTc2Nzg2NzM2NzMxOC40Mzc1",1,0,0,0,0,1,0,0
Senior Pricing Analyst,"https://www.pracuj.pl/praca/senior-pricing-analyst-krakow-aleja-generala-tadeusza-bora-komorowskiego-25b,oferta,1004550593?s=fd093a39&searchId=MTc2Nzg2NzM2NzMxOC40Mzc1",1,1,0,1,0,1,1,0
Analityk Biznesowy / Analityczka Biznesowa,"https://www.pracuj.pl/praca/analityk-biznesowy-analityczka-biznesowa-warszawa-jana-olbrachta-94,oferta,1004555650?s=fd093a39&searchId=MTc2Nzg2NzM2NzMxOC40Mzc1",1,0,0,1,0,1,0,0
Business Analyst,"https://www.pracuj.pl/praca/business-analyst-warszawa,oferta,1004533996?s=fd093a39&searchId=MTc2Nzg2NzM2NzMxOC40Mzc1",0,0,0,0,0,1,0,0
Data Scientist / Specjalista ds. Modelowania (K/M),"https://www.pracuj.pl/praca/data-scientist-specjalista-ds-modelowania-k-m-warszawa-postepu-15,oferta,1004544626?s=fd093a39&searchId=MTc2Nzg2NzM2NzMxOC40Mzc1",1,1,0,0,0,0,1,0
Senior Business System Analyst,"https://www.pracuj.pl/praca/senior-business-system-analyst-warszawa-grzybowska-87,oferta,1004533703?s=fd093a39&searchId=MTc2Nzg2NzM2NzMxOC40Mzc1",1,0,0,1,0,1,1,0
Analityk ds. Procesów Finansowych (f/m/o),"https://www.pracuj.pl/praca/analityk-ds-procesow-finansowych-f-m-o-warszawa-aleja-prymasa-tysiaclecia-64,oferta,1004555035?s=fd093a39&searchId=MTc2Nzg2NzM2NzMxOC40Mzc1",0,0,1,1,0,1,1,0
IT Analyst Senior with Swedish language and some PEGA experience,"https://www.pracuj.pl/praca/it-analyst-senior-with-swedish-language-and-some-pega-experience-gdansk,oferta,1004533336?s=fd093a39&searchId=MTc2Nzg2NzM2NzMxOC40Mzc1",1,0,0,0,0,1,0,0
Starszy Analityk / -czka ds. Analiz i Efektywności Kanałów Sprzedaży,"https://www.pracuj.pl/praca/starszy-analityk-czka-ds-analiz-i-efektywnosci-kanalow-sprzedazy-warszawa-marynarska-12,oferta,1004529626?s=fd093a39&searchId=MTc2Nzg2NzM2NzMxOC40Mzc1",1,0,0,0,0,1,0,0
Młodszy analityk biznesowy (K/M/X),"https://www.pracuj.pl/praca/mlodszy-analityk-biznesowy-k-m-x-warszawa-rudzka-18,oferta,1004554647?s=fd093a39&searchId=MTc2Nzg2NzM2NzMxOC40Mzc1",0,0,0,1,1,1,1,0
Specjalistka / Specjalista ds. Analizy Biznesowo-Systemowej (Analityk / Analityczka),"https://www.pracuj.pl/praca/specjalistka-specjalista-ds-analizy-biznesowo-systemowej-analityk-analityczka-gdansk-zamknieta-18,oferta,1004554538?s=fd093a39&searchId=MTc2Nzg2NzM2NzMxOC40Mzc1",0,0,0,1,0,1,1,0
Analityk biznesowy (m/k/x),"https://www.pracuj.pl/praca/analityk-biznesowy-m-k-x-wilcza-gora-pow-piaseczynski-zwirowa-50,oferta,1004554354?s=fd093a39&searchId=MTc2Nzg2NzM2NzMxOC40Mzc1",0,0,1,0,1,1,0,0
Analityk Biznesowy / Analityczka Biznesowa,"https://www.pracuj.pl/praca/analityk-biznesowy-analityczka-biznesowa-wroclaw-strzegomska-55a,oferta,1004554484?s=fd093a39&searchId=MTc2Nzg2NzM2NzMxOC40Mzc1",1,0,0,0,0,1,0,0
